iter	RMSE
0	8.432491903
1	7.637639487
2	6.979069023
3	6.424529331
4	5.97158902
5	5.592329286
6	5.232717938
7	4.941979973
8	4.726305611
9	4.53026229
10	4.325291954
11	4.178166396
12	4.062197907
13	3.931619913
14	3.826237305
15	3.728610415
16	3.619294512
17	3.538083441
18	3.468847061
19	3.417400581
20	3.355486061
21	3.312908587
22	3.253950846
23	3.201253273
24	3.162119295
25	3.114660486
26	3.075094644
27	3.034857791
28	2.989275391
29	2.969548834
30	2.929387776
31	2.903570301
32	2.869859912
33	2.849869051
34	2.821417262
35	2.798973632
36	2.773001853
37	2.749457026
38	2.722453565
39	2.703828928
40	2.670303632
41	2.642943589
42	2.618207008
43	2.599364033
44	2.582960709
45	2.566497578
46	2.54204404
47	2.535882607
48	2.503693908
49	2.493258557
50	2.482983941
51	2.476688151
52	2.472951526
53	2.426453406
54	2.42195203
55	2.41680783
56	2.410799416
57	2.380386712
58	2.356084265
59	2.352372177
60	2.349732304
61	2.320258004
62	2.318124944
63	2.292505938
64	2.260801952
65	2.241004876
66	2.223916363
67	2.221141357
68	2.191125119
69	2.185681185
70	2.183168019
71	2.180790018
72	2.175801449
73	2.160830818
74	2.149498548
75	2.125698464
76	2.110749652
77	2.108142189
78	2.088836787
79	2.086739179
80	2.07041743
81	2.057761153
82	2.043690479
83	2.031128338
84	2.024852401
85	2.019731511
86	2.008086301
87	1.989094113
88	1.976083984
89	1.968100521
90	1.948819092
91	1.932989334
92	1.924731341
93	1.922009263
94	1.906750357
95	1.888103046
96	1.875092341
97	1.855072449
98	1.845366824
99	1.843577967
100	1.831140091
101	1.82555283
102	1.809082697
103	1.807511848
104	1.802095906
105	1.797212271
106	1.78031622
107	1.778587353
108	1.777721747
109	1.765567321
110	1.753454944
111	1.747100991
112	1.731523187
113	1.727608614
114	1.716606631
115	1.705317573
116	1.69958973
117	1.694644774
118	1.693738695
119	1.684495401
120	1.675230051
121	1.673754592
122	1.67248797
123	1.664803224
124	1.662929631
125	1.653364366
126	1.651221311
127	1.647715114
128	1.637798365
129	1.624874299
130	1.613752017
131	1.603173077
132	1.593899894
133	1.592604332
134	1.581220204
135	1.570288011
136	1.563854772
137	1.556277255
138	1.551911249
139	1.54288222
140	1.542307965
141	1.532312772
142	1.519608101
143	1.518995693
144	1.509687059
145	1.501594227
146	1.491232405
147	1.48100201
148	1.471014435
149	1.46647096
150	1.46324329
151	1.461643348
152	1.449323526
153	1.444042963
154	1.439204292
155	1.438572334
156	1.435861153
157	1.435115588
158	1.429495957
159	1.422599922
160	1.412077889
161	1.406533278
162	1.403170306
163	1.395463169
164	1.386704953
165	1.37846714
166	1.377761427
167	1.36953408
168	1.368658667
169	1.363348068
170	1.362647797
171	1.355153853
172	1.350306437
173	1.345264499
174	1.342324075
175	1.332317228
176	1.321651106
177	1.317865808
178	1.310238344
179	1.304871548
180	1.298933636
181	1.297244057
182	1.296660293
183	1.292936747
184	1.292399918
185	1.289333208
186	1.286390898
187	1.277926516
188	1.27106086
189	1.266171636
190	1.265237976
191	1.262043572
192	1.260224482
193	1.253453519
194	1.252832505
195	1.24559422
196	1.238744358
197	1.23399667
