iter	Passed	Remaining
0	2	362
1	4	308
2	10	428
3	12	386
4	14	354
5	16	333
6	19	331
7	21	317
8	23	317
9	25	306
10	27	296
11	29	285
12	31	275
13	32	267
14	35	265
15	37	262
16	40	263
17	42	260
18	44	252
19	45	245
20	47	240
21	48	233
22	49	227
23	51	221
24	52	215
25	53	210
26	55	207
27	56	203
28	58	200
29	59	195
30	61	191
31	62	187
32	63	183
33	64	179
34	66	177
35	68	174
36	69	171
37	71	169
38	73	167
39	75	165
40	76	162
41	78	159
42	79	156
43	80	154
44	82	151
45	83	149
46	85	146
47	87	145
48	88	143
49	90	141
50	92	138
51	93	136
52	94	134
53	96	131
54	98	130
55	99	127
56	100	125
57	102	124
58	104	122
59	106	120
60	107	118
61	108	115
62	109	113
63	111	111
64	112	108
65	113	106
66	115	104
67	116	102
68	117	100
69	119	98
70	121	97
71	123	95
72	124	93
73	125	91
74	127	89
75	128	87
76	130	86
77	131	84
78	133	82
79	135	81
80	136	79
81	138	77
82	139	75
83	140	73
84	141	71
85	142	69
86	144	67
87	145	66
88	146	64
89	148	62
90	149	60
91	151	59
92	153	57
93	154	55
94	155	54
95	156	52
96	157	50
97	159	48
98	160	46
99	161	45
100	163	43
101	164	41
102	166	40
103	168	38
104	169	37
105	170	35
106	172	33
107	173	32
108	174	30
109	175	28
110	176	27
111	178	25
112	179	23
113	181	22
114	182	20
115	184	19
116	185	17
117	186	15
118	187	14
119	188	12
120	189	10
121	190	9
122	191	7
123	192	6
124	194	4
125	195	3
126	196	1
127	198	0
